,Borough,Neighborhood,latitude,longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
98,NEW DELHI,PRESIDENT ESTATE,28.6208562,77.20040829999999,0.0,Smoke Shop,Food & Drink Shop,Garden,Asian Restaurant,Falafel Restaurant,Food Court,Food,Flea Market,Fast Food Restaurant,Fabric Shop
99,NEW DELHI,PRITHVI RAJ ROAD,28.588740299999998,77.2235118,0.0,Chinese Restaurant,Pedestrian Plaza,Italian Restaurant,Performing Arts Venue,Diner,Middle Eastern Restaurant,Food Court,Japanese Restaurant,Shopping Mall,Park
100,NEW DELHI,PURANA QUILLA ROAD,28.6092855,77.2435969,2.0,Hotel,Café,Museum,Zoo,History Museum,Historic Site,Gym / Fitness Center,Gym,Diner,Donut Shop
101,NEW DELHI,RACE COURSE,28.597351300000003,77.21109670000001,0.0,Coffee Shop,Metro Station,Gym / Fitness Center,Women's Store,Food & Drink Shop,Food,Flea Market,Fast Food Restaurant,Falafel Restaurant,Fabric Shop
102,NEW DELHI,RACE COURSE ROAD,28.597351300000003,77.21109670000001,0.0,Coffee Shop,Metro Station,Gym / Fitness Center,Women's Store,Food & Drink Shop,Food,Flea Market,Fast Food Restaurant,Falafel Restaurant,Fabric Shop
103,NEW DELHI,RAJA BAZAR,27.1940261,77.9970749,0.0,Train Station,Pharmacy,Diner,Sandwich Place,Tea Room,Women's Store,Fabric Shop,Food,Flea Market,Fast Food Restaurant
104,NEW DELHI,RAMA KRISHNA ASHRAM MARG,28.664739,77.19591694213649,0.0,Mini Golf,Train Station,Photography Studio,Light Rail Station,Fabric Shop,Food,Flea Market,Fast Food Restaurant,Falafel Restaurant,Women's Store
105,NEW DELHI,RAVINDRA NAGAR,28.6517178,77.22193879999999,,,,,,,,,,,
106,NEW DELHI,SAFDARJUNG AIRPORT,28.5851893,77.2062426432913,2.0,Indian Restaurant,Chinese Restaurant,Asian Restaurant,Women's Store,Fast Food Restaurant,Food Court,Food & Drink Shop,Food,Flea Market,Fabric Shop
107,NEW DELHI,SAROJINI NAGAR,28.574157500000002,77.1953703,2.0,Indian Restaurant,Fast Food Restaurant,Women's Store,Restaurant,Market,Dessert Shop,Pizza Place,Department Store,BBQ Joint,Bakery
108,NEW DELHI,SHAHEED BHAGAT SINGH MARG,28.613359399999997,77.10923509999999,0.0,Department Store,Chinese Restaurant,Market,Women's Store,Food Truck,Donut Shop,Eastern European Restaurant,Electronics Store,English Restaurant,Fabric Shop
109,NEW DELHI,SIKANDRA ROAD,28.6255564,77.2341897,2.0,Theater,Café,Art Gallery,Indian Restaurant,Bakery,Train Station,Arcade,Light Rail Station,Concert Hall,Women's Store
110,NEW DELHI,SOUTH AVENUE,28.608302399999996,77.19907629999999,0.0,Department Store,Planetarium,Tea Room,English Restaurant,Food,Flea Market,Fast Food Restaurant,Falafel Restaurant,Fabric Shop,Electronics Store
111,NEW DELHI,SOUTH END LANE,28.4078327,77.0467223,2.0,Bakery,Brewery,Pizza Place,Sandwich Place,Shopping Mall,Coffee Shop,Comfort Food Restaurant,Italian Restaurant,Café,Movie Theater
112,NEW DELHI,SUJAN SINGH PARK,28.599261199999997,77.2285545,2.0,Café,Coffee Shop,Chinese Restaurant,Bar,Bookstore,Asian Restaurant,Indian Restaurant,Restaurant,Pub,French Restaurant
113,NEW DELHI,SUNEHRI BAGH,28.6077227,77.2119713,0.0,Government Building,Women's Store,Food Truck,Dim Sum Restaurant,Diner,Donut Shop,Eastern European Restaurant,Electronics Store,English Restaurant,Fabric Shop
114,NEW DELHI,TAL KATORA ROAD,28.6517178,77.22193879999999,,,,,,,,,,,
115,NEW DELHI,TEEN MURTI MARG,28.6028685,77.20216440000002,0.0,History Museum,Planetarium,Women's Store,Food Court,Dim Sum Restaurant,Diner,Donut Shop,Eastern European Restaurant,Electronics Store,English Restaurant
116,NEW DELHI,TEES JANUARY MARG,28.6023922,77.21456500000001,0.0,Hotel Bar,Smoke Shop,Mediterranean Restaurant,North Indian Restaurant,History Museum,Clothing Store,Chinese Restaurant,Breakfast Spot,Hotel,Bakery
117,NEW DELHI,TILAK MARG,28.6201115,77.23662420000001,2.0,Hotel,Art Gallery,Food Truck,Dim Sum Restaurant,Diner,Donut Shop,Eastern European Restaurant,Electronics Store,English Restaurant,Fabric Shop
